model,attack,base_class,target_class,epochs,lr,poison_num,epsilon,poison_num.1,watermark_opacity,step_size,iterations,n_runs,n_success,asr,clean_acc_mean,poisoned_acc_mean
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.01,30,0.0,0.01,2000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.01,30,0.0,0.01,4000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.01,30,0.2,0.01,4000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.03,30,0.0,0.01,2000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.03,30,0.0,0.01,4000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.03,30,0.2,0.01,2000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.03,30,0.2,0.01,4000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.05,30,0.0,0.01,2000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.05,30,0.0,0.01,4000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.05,30,0.2,0.01,2000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,30,0.05,30,0.2,0.01,4000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,60,0.01,60,0.0,0.01,2000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,60,0.01,60,0.0,0.01,4000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,60,0.01,60,0.2,0.01,2000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,60,0.01,60,0.2,0.01,4000,5,5,1.0,0.74,0.72
model_cat_lr0.0075,fc,1,0,20,0.1,60,0.03,60,0.0,0.01,2000,5,5,1.0,0.74,0.7559999999999999
